birth_id,line_id,number,sex,dob,source,litter_id,ear_mark,sire,dam,generation,gt_app,gt_ps1,gt_aqp4,gt_cagegfp,genotype,genotype_status,status,status_date,notes
5xfad-112,5xfad,112,M,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad-113,5xfad,113,M,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-114,5xfad,114,F,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,→Nuriya G tag:Punch orig:実験中
5xfad-115,5xfad,115,F,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,→Nuriya G tag:Punch
5xfad-116,5xfad,116,F,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch orig:実験中
5xfad-117,5xfad,117,F,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-118,5xfad,118,F,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-119,5xfad,119,F,2025-06-24,in_house,,,108or109or110,5xFAD-95(WT),5,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-120,5xfad,120,M,2025-10-18,in_house,,,5xFAD 102,WT 130,,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,5 x FAD x AQP4KO交配用→5xFAD交配→260528交配終了 tag:Punch
5xfad-121,5xfad,121,M,2025-10-18,in_house,,,5xFAD 102,WT 130,,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,5 x FAD x AQP4KO交配用→5xFAD交配→260601交配終了 tag:Punch
5xfad-122,5xfad,122,M,2025-10-18,in_house,,,5xFAD 102,WT 130,,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad-123,5xfad,123,F,2025-10-18,in_house,,,5xFAD 102,WT 130,,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad-124,5xfad,124,F,2025-10-18,in_house,,,5xFAD 102,WT 130,,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,右目開いてない、左目白内障 tag:Punch orig:実験中
5xfad-125,5xfad,125,F,2025-10-18,in_house,,,5xFAD 102,WT 130,,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch orig:実験中
5xfad-126,5xfad,126,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-127,5xfad,127,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-128,5xfad,128,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-129,5xfad,129,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-130,5xfad,130,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-131,5xfad,131,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-132,5xfad,132,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-133,5xfad,133,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-134,5xfad,134,,2026-06-02,in_house,,,5xFAD 120,WT 181,,,,,,,pending,alive,,
5xfad-135,5xfad,135,,2026-06-06,in_house,,,5xFAD 121,WT 182,,,,,,,pending,alive,,
5xfad-136,5xfad,136,,2026-06-06,in_house,,,5xFAD 121,WT 182,,,,,,,pending,alive,,
5xfad-137,5xfad,137,,2026-06-06,in_house,,,5xFAD 121,WT 182,,,,,,,pending,alive,,
5xfad-138,5xfad,138,,2026-06-06,in_house,,,5xFAD 121,WT 182,,,,,,,pending,alive,,
5xfad-1,5xfad,1,M,2023-03-06,vendor,,,5xFAD,WT,1,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Jacksonから購入（2023/6/22）
5xfad-2,5xfad,2,M,2023-03-06,vendor,,,5xFAD,WT,1,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Jacksonから購入（2023/6/22） tag:Green tag
5xfad-3,5xfad,3,F,2023-03-06,vendor,,,5xFAD,WT,1,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Jacksonから購入（2023/8/23） tag:Orange tag
5xfad-4,5xfad,4,F,2023-03-06,vendor,,,5xFAD,WT,1,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Jacksonから購入（2023/8/23） tag:Orange tag
5xfad-5,5xfad,5,M,2023-11-05,in_house,,,5xFAD-1,5xFAD-3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（プレ実験）
5xfad-6,5xfad,6,M,2023-11-05,in_house,,,5xFAD-1,5xFAD-3,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:左1
5xfad-7,5xfad,7,M,2023-11-05,in_house,,,5xFAD-1,5xFAD-3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（プレ実験） tag:右1
5xfad-8,5xfad,8,M,2023-11-05,in_house,,,5xFAD-1,5xFAD-3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（プレ実験） tag:左1右1
5xfad-9,5xfad,9,M,2023-11-05,in_house,,,5xFAD-1,5xFAD-3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（プレ実験） tag:左2
5xfad-10,5xfad,10,F,2023-11-05,in_house,,,5xFAD-1,5xFAD-3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,
5xfad-11,5xfad,11,F,2023-11-05,in_house,,,5xFAD-1,5xFAD-3,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:左1
5xfad-12,5xfad,12,M,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,
5xfad-13,5xfad,13,M,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:左1
5xfad-14,5xfad,14,M,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:右1
5xfad-15,5xfad,15,M,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:左1右1
5xfad-16,5xfad,16,F,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,
5xfad-17,5xfad,17,F,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:左1
5xfad-18,5xfad,18,F,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:右1
5xfad-19,5xfad,19,F,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:左1右1
5xfad-20,5xfad,20,F,2023-11-06,in_house,,,5xFAD-1,5xFAD-4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:左2
5xfad-21,5xfad,21,F,2023-11-06,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,
5xfad-22,5xfad,22,F,2023-11-06,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,c-fos tag:左1
5xfad-23,5xfad,23,F,2023-11-06,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:右1
5xfad-24,5xfad,24,F,2023-11-06,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,自然死
5xfad-25,5xfad,25,F,2023-11-06,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,自然死 tag:左1
5xfad-26,5xfad,26,F,2023-11-06,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:右1
5xfad-27,5xfad,27,F,2023-11-06,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:左1右1
5xfad-28,5xfad,28,M,2023-11-08,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,
5xfad-29,5xfad,29,M,2023-11-08,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:左1
5xfad-30,5xfad,30,M,2023-11-08,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（プレ実験） tag:右1
5xfad-31,5xfad,31,M,2023-11-08,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:左1右1
5xfad-32,5xfad,32,M,2023-11-08,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:左2
5xfad-33,5xfad,33,F,2023-11-08,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,
5xfad-34,5xfad,34,F,2023-11-08,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:左1
5xfad-35,5xfad,35,M,2024-02-07,in_house,,,5xFAD 1,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-36,5xfad,36,M,2024-02-07,in_house,,,5xFAD 1,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-37,5xfad,37,M,2024-02-07,in_house,,,5xFAD 1,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-38,5xfad,38,M,2024-02-07,in_house,,,5xFAD 1,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-39,5xfad,39,M,2024-02-07,in_house,,,5xFAD 1,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-40,5xfad,40,F,2024-02-07,in_house,,,5xFAD 1,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-41,5xfad,41,M,2024-02-07,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-42,5xfad,42,M,2024-02-07,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-43,5xfad,43,M,2024-02-07,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-44,5xfad,44,M,2024-02-07,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-45,5xfad,45,M,2024-02-07,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-46,5xfad,46,M,2024-02-07,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-47,5xfad,47,M,2024-02-07,in_house,,,5xFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-48,5xfad,48,F,2024-02-07,in_house,,,5xFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-49,5xfad,49,M,2024-02-14,in_house,,,5xFAD-1,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-50,5xfad,50,M,2024-02-14,in_house,,,5xFAD-1,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-51,5xfad,51,M,2024-02-14,in_house,,,5xFAD-1,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-52,5xfad,52,F,2024-02-14,in_house,,,5xFAD-1,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-53,5xfad,53,F,2024-02-14,in_house,,,5xFAD-1,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-54,5xfad,54,M,2024-02-28,in_house,,,WT,5xFAD 3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-55,5xfad,55,M,2024-02-28,in_house,,,WT,5xFAD 3,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-56,5xfad,56,M,2024-02-28,in_house,,,WT,5xFAD 3,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-57,5xfad,57,M,2024-02-28,in_house,,,WT,5xFAD 3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-58,5xfad,58,F,2024-02-28,in_house,,,WT,5xFAD 3,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
