procedure_id,mouse_id,procedure_type,procedure_date,series_id,session_no,operator,anesthesia,anesthesia_route,analgesia,analgesia_route,construct/dye,injection_route,site1_hemi,site1_region,site1_ap,site1_ml,site1_dv,outcome,notebook_scan,notes,days_since
pr-ts1-01,ts1,cranial_window,2022-06-08,,,ts,,,,,,,,,,,,,,チャンバーづけ,1480
pr-ts2-01,ts2,cranial_window,2022-06-09,,,ts,,,,,,,,,,,,,,チャンバーづけ,1479
pr-ts3-01,ts3,other,2022-11-11,,,ts,,,,,,,,,,,,,,FastBlue,1324
pr-ts4-01,ts4,CM_injection,2022-11-17,,,ts,,,,,,,,,,,,,,CM Catheter,1318
pr-ts4-02,ts4,cranial_window,2022-11-17,,,ts,,,,,,,,,,,,,,チャンバーづけ,1318
pr-ts5-01,ts5,CM_injection,2022-11-21,,,ts,,,,,,,,,,,,,,CM Catheter,1314
pr-ts5-02,ts5,cranial_window,2022-11-21,,,ts,,,,,,,,,,,,,,チャンバーづけ,1314
pr-ts6-01,ts6,CM_injection,2022-11-21,,,ts,,,,,,,,,,,,,,CM Catheter,1314
pr-ts6-02,ts6,cranial_window,2022-11-21,,,ts,,,,,,,,,,,,,,チャンバーづけ,1314
pr-ts7-01,ts7,CM_injection,2022-11-25,,,ts,,,,,,,,,,,,,,CM Catheter,1310
pr-ts7-02,ts7,cranial_window,2022-11-25,,,ts,,,,,,,,,,,,,,チャンバーづけ,1310
pr-ts8-01,ts8,CM_injection,2022-11-25,,,ts,,,,,,,,,,,,,,CM Catheter,1310
pr-ts8-02,ts8,cranial_window,2022-11-25,,,ts,,,,,,,,,,,,,,チャンバーづけ,1310
pr-ts9-01,ts9,other,2022-12-06,,,ts,,,,,,,,,,,,,,FastBlue,1299
pr-ts10-01,ts10,CM_injection,2023-01-13,,,ts,,,,,,,,,,,,,,CM Catheter,1261
pr-ts10-02,ts10,cranial_window,2023-01-13,,,ts,,,,,,,,,,,,,,Window,1261
pr-ts11-01,ts11,CSF_collection,2023-11-06,,,ts,,,,,,,,,,,,,,CSF Collection,964
pr-ts12-01,ts12,CSF_collection,2023-11-07,,,ts,,,,,,,,,,,,,,CSF Collection,963
pr-ts13-01,ts13,cranial_window,2023-11-09,,,ts,,,,,,,,,,,,,,Cranial window,961
pr-ts14-01,ts14,CSF_collection,2023-11-13,,,ts,,,,,,,,,,,,,,CSF Collection,957
pr-ts15-01,ts15,CSF_collection,2023-11-13,,,ts,,,,,,,,,,,,,,CSF Collection,957
pr-ts16-01,ts16,CSF_collection,2023-11-13,,,ts,,,,,,,,,,,,,,CSF Collection,957
pr-ts17-01,ts17,CSF_collection,2023-11-14,,,ts,,,,,,,,,,,,,,CSF Collection,956
pr-ts18-01,ts18,CSF_collection,2023-11-14,,,ts,,,,,,,,,,,,,,CSF Collection,956
pr-ts19-01,ts19,femoral_catheter,2023-11-16,,,ts,,,,,,,,,,,,,,Femoral artery catheter,954
pr-ts20-01,ts20,cranial_window,2023-11-27,,,ts,,,,,,,,,,,,,,Cranial window,943
pr-ts21-01,ts21,cranial_window,2023-12-06,,,ts,,,,,,,,,,,,,,Cranial window,934
pr-ts22-01,ts22,other,2023-12-08,,,ts,,,,,,,,,,,,,,Needle insertion,932
pr-ts23-01,ts23,cranial_window,2023-12-12,,,ts,,,,,,,,,,,,,,Cranial window,928
pr-ts24-01,ts24,CM_injection,2023-12-18,,,ts,,,,,,,,,,,,,,CM Catheter,922
pr-ts24-02,ts24,cranial_window,2023-12-18,,,ts,,,,,,,,,,,,,,チャンバーづけ,922
pr-ts25-01,ts25,CM_injection,2023-12-29,,,ts,,,,,,,,,,,,,,CM Catheter,911
pr-ts25-02,ts25,cranial_window,2023-12-29,,,ts,,,,,,,,,,,,,,チャンバーづけ,911
pr-ts26-01,ts26,cranial_window,2024-01-10,,,ts,,,,,,,,,,,,,,Cranial window,899
pr-ts27-01,ts27,cranial_window,2024-01-11,,,ts,,,,,,,,,,,,,,Cranial window,898
pr-ts28-01,ts28,CM_injection,2024-01-16,,,ts,,,,,,,,,,,,,,CM Catheter,893
pr-ts28-02,ts28,cranial_window,2024-01-16,,,ts,,,,,,,,,,,,,,Window,893
pr-ts29-01,ts29,CM_injection,2024-01-19,,,ts,,,,,,,,,,,,,,CM Catheter,890
pr-ts29-02,ts29,cranial_window,2024-01-19,,,ts,,,,,,,,,,,,,,Window,890
pr-ts30-01,ts30,CM_injection,2024-01-23,,,ts,,,,,,,,,,,,,,CM Catheter,886
pr-ts30-02,ts30,cranial_window,2024-01-23,,,ts,,,,,,,,,,,,,,Window,886
pr-ts31-01,ts31,CSF_collection,2024-01-30,,,ts,,,,,,,,,,,,,,CSF Collection,879
pr-ts31-02,ts31,cranial_window,2024-01-30,,,ts,,,,,,,,,,,,,,チャンバーづけ,879
pr-ts32-01,ts32,CSF_collection,2024-02-07,,,ts,,,,,,,,,,,,,,CSF Collection,871
pr-ts32-02,ts32,cranial_window,2024-02-07,,,ts,,,,,,,,,,,,,,チャンバーづけ,871
pr-ts33-01,ts33,CSF_collection,2024-02-07,,,ts,,,,,,,,,,,,,,CSF Collection,871
pr-ts33-02,ts33,cranial_window,2024-02-07,,,ts,,,,,,,,,,,,,,チャンバーづけ,871
pr-ts34-01,ts34,CSF_collection,2024-02-07,,,ts,,,,,,,,,,,,,,CSF Collection,871
pr-ts34-02,ts34,cranial_window,2024-02-07,,,ts,,,,,,,,,,,,,,チャンバーづけ,871
pr-ts35-01,ts35,CSF_collection,2024-02-07,,,ts,,,,,,,,,,,,,,CSF Collection,871
pr-ts35-02,ts35,cranial_window,2024-02-07,,,ts,,,,,,,,,,,,,,チャンバーづけ,871
pr-ts36-01,ts36,CSF_collection,2024-02-08,,,ts,,,,,,,,,,,,,,CSF Collection,870
pr-ts36-02,ts36,cranial_window,2024-02-08,,,ts,,,,,,,,,,,,,,チャンバーづけ,870
pr-ts37-01,ts37,CSF_collection,2024-02-08,,,ts,,,,,,,,,,,,,,CSF Collection,870
pr-ts37-02,ts37,cranial_window,2024-02-08,,,ts,,,,,,,,,,,,,,チャンバーづけ,870
pr-ts38-01,ts38,CSF_collection,2024-02-08,,,ts,,,,,,,,,,,,,,CSF Collection,870
