sex,genotype_status,genotype_call,animal_status,exp_status,role,source,mating_status,cohort,procedure_type,route,injection_route,anesthesia,analgesia,hemisphere,fixation,operator,ear_mark
M,pending,+/+,alive,planned,experimental,in_house,paired,personal,cranial_window,inhalation,ic,isoflurane,ketoprophen,R,none,ts,L1
F,confirmed,+/-,breeding,active,control,vendor,weaned,collab,PoRTs_window,ip,ivc,ketamine_xylazine,,L,PFA_perfusion,sk,R1
U,failed,-/-,nursing,completed,littermate_control,,ended,,craniotomy,sc,icm,avertin,,midline,PFA_immersion,,RL1
,retest,+,mating,excluded,naive,,nursing,,viral_injection,iv,,urethane,,,other,,L2
,na,-,mating_planned,,,,pregnant,,CM_injection,im,,3-mixed,,,,,R2
,,na,sacrificed,,,,,,ICM_injection,po,,other,,,,,RL2
,,,transferred,,,,,,CSF_collection,none,,,,,,,punch
,,,enrolled,,,,,,femoral_catheter,,,,,,,,N
,,,enroll_planned,,,,,,perfusion_fix,,,,,,,,
,,,,,,,,,tissue_clearing,,,,,,,,
,,,,,,,,,brain_sampling,,,,,,,,
,,,,,,,,,imaging,,,,,,,,
,,,,,,,,,genotyping_biopsy,,,,,,,,
,,,,,,,,,other,,,,,,,,
,,,,,,,,,tail-vein_catheter,,,,,,,,
,,,,,,,,,jagular-vein_catheter,,,,,,,,
,,,,,,,,,ICV_cannula,,,,,,,,
,,,,,,,,,striatum_cannula,,,,,,,,
